epoch,split,loss,acc,f1,time_sec
1,train,0.2134,0.9062,0.7775,2591.74
1,valid,0.2001,0.9123,0.7971,2591.74
2,train,0.1943,0.9145,0.7999,2700.12
2,valid,0.1912,0.9162,0.8028,2700.12
3,train,0.1874,0.9174,0.8075,2179.43
3,valid,0.1900,0.9163,0.8053,2179.43
4,train,0.1817,0.9198,0.8138,2543.41
4,valid,0.1914,0.9159,0.8031,2543.41
5,train,0.1765,0.9222,0.8199,2675.42
5,valid,0.1922,0.9162,0.8088,2675.42
6,train,0.1710,0.9247,0.8261,2609.12
6,valid,0.1876,0.9181,0.8061,2609.12
7,train,0.1652,0.9274,0.8329,2460.76
7,valid,0.1900,0.9171,0.8028,2460.76
8,train,0.1590,0.9302,0.8399,2346.33
8,valid,0.1944,0.9156,0.8021,2346.33
9,train,0.1523,0.9333,0.8476,2350.77
9,valid,0.1948,0.9170,0.8061,2350.77
10,train,0.1452,0.9367,0.8558,2401.25
10,valid,0.2053,0.9139,0.8006,2401.25
best,test,0.1997,0.9118,0.8039,24858.66
